input,intent,response
ok who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hi there bot,greeting,Hello! How can I help you today?
listen how is it going today,wellbeing,I'm functioning perfectly. How can I help you?
thanks actually,gratitude,You are very welcome!
hey greetings,greeting,Hello! How can I help you today?
introduce yourself now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
ok thx,gratitude,You are very welcome!
so introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
listen hello,greeting,Hello! How can I help you today?
so i have to go,farewell,Goodbye! Have a wonderful day.
hey i like you today,love,That is very kind of you to say!
listen introduce yourself actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please what are you please,identity,"I am SHAKTI 2.0, a human interaction dataset model."
bad bot today,insult,I apologize if I disappointed you. I am still learning.
well what's up bot,wellbeing,I'm functioning perfectly. How can I help you?
yo how are you,wellbeing,I'm functioning perfectly. How can I help you?
are you a bot friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please i love you sir,love,That is very kind of you to say!
you are amazing friend,compliment,Thank you! I appreciate the positive feedback.
listen thank you,gratitude,You are very welcome!
you are cute bot,love,That is very kind of you to say!
actually how is it going sir,wellbeing,I'm functioning perfectly. How can I help you?
thanks a lot sir,gratitude,You are very welcome!
yo how is it going,wellbeing,I'm functioning perfectly. How can I help you?
who are you bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well goodbye friend,farewell,Goodbye! Have a wonderful day.
hey bad bot,insult,I apologize if I disappointed you. I am still learning.
listen what do you mean,confusion,I apologize. Let me try to be clearer.
introduce yourself today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please greetings,greeting,Hello! How can I help you today?
ok are you a bot today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo talk to you later,farewell,Goodbye! Have a wonderful day.
well thanks a lot now,gratitude,You are very welcome!
so goodbye,farewell,Goodbye! Have a wonderful day.
talk to you later sir,farewell,Goodbye! Have a wonderful day.
you are stupid bot,insult,I apologize if I disappointed you. I am still learning.
actually hello,greeting,Hello! How can I help you today?
umm see you bot,farewell,Goodbye! Have a wonderful day.
so will you marry me friend,love,That is very kind of you to say!
ok hi there bot,greeting,Hello! How can I help you today?
i am confused sir,confusion,I apologize. Let me try to be clearer.
i have to go buddy,farewell,Goodbye! Have a wonderful day.
umm can you explain buddy,confusion,I apologize. Let me try to be clearer.
help me now,capabilities,I can answer questions and chat with you.
so what's up,wellbeing,I'm functioning perfectly. How can I help you?
i am confused today,confusion,I apologize. Let me try to be clearer.
umm i love you please,love,That is very kind of you to say!
how do you work actually,capabilities,I can answer questions and chat with you.
see you please,farewell,Goodbye! Have a wonderful day.
what is your name mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well thx sir,gratitude,You are very welcome!
hey are you a bot please,identity,"I am SHAKTI 2.0, a human interaction dataset model."
are you a bot bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
umm i dont understand now,confusion,I apologize. Let me try to be clearer.
actually how do you feel please,wellbeing,I'm functioning perfectly. How can I help you?
listen i am confused,confusion,I apologize. Let me try to be clearer.
yo i like you,love,That is very kind of you to say!
actually good night,farewell,Goodbye! Have a wonderful day.
yo useless,insult,I apologize if I disappointed you. I am still learning.
you are dumb bot,insult,I apologize if I disappointed you. I am still learning.
are you a bot bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
so are you a bot please,identity,"I am SHAKTI 2.0, a human interaction dataset model."
i dont understand sir,confusion,I apologize. Let me try to be clearer.
umm bad bot buddy,insult,I apologize if I disappointed you. I am still learning.
actually bye actually,farewell,Goodbye! Have a wonderful day.
good evening mam,greeting,Hello! How can I help you today?
hey hey now,greeting,Hello! How can I help you today?
so hey buddy,greeting,Hello! How can I help you today?
yo introduce yourself buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
thx now,gratitude,You are very welcome!
how are things sir,wellbeing,I'm functioning perfectly. How can I help you?
listen what can you do,capabilities,I can answer questions and chat with you.
actually good evening,greeting,Hello! How can I help you today?
how do you feel buddy,wellbeing,I'm functioning perfectly. How can I help you?
how are things today,wellbeing,I'm functioning perfectly. How can I help you?
yo you are dumb today,insult,I apologize if I disappointed you. I am still learning.
well what do you mean,confusion,I apologize. Let me try to be clearer.
listen i have to go,farewell,Goodbye! Have a wonderful day.
i love you sir,love,That is very kind of you to say!
so hi,greeting,Hello! How can I help you today?
ok i am confused now,confusion,I apologize. Let me try to be clearer.
ok well done today,compliment,Thank you! I appreciate the positive feedback.
please what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what can you do buddy,capabilities,I can answer questions and chat with you.
cya mam,farewell,Goodbye! Have a wonderful day.
hey who are you friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo appreciate it buddy,gratitude,You are very welcome!
i dont understand buddy,confusion,I apologize. Let me try to be clearer.
yo what can you do today,capabilities,I can answer questions and chat with you.
listen thank you,gratitude,You are very welcome!
i have to go mam,farewell,Goodbye! Have a wonderful day.
well hello buddy,greeting,Hello! How can I help you today?
please good evening please,greeting,Hello! How can I help you today?
how is it going bot,wellbeing,I'm functioning perfectly. How can I help you?
listen you are cute,love,That is very kind of you to say!
umm you are dumb,insult,I apologize if I disappointed you. I am still learning.
so thanks a lot today,gratitude,You are very welcome!
ok help me,capabilities,I can answer questions and chat with you.
you are stupid bot,insult,I apologize if I disappointed you. I am still learning.
hey there mam,greeting,Hello! How can I help you today?
yo appreciate it sir,gratitude,You are very welcome!
goodbye buddy,farewell,Goodbye! Have a wonderful day.
well how do you work,capabilities,I can answer questions and chat with you.
so what are you actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what's up buddy,wellbeing,I'm functioning perfectly. How can I help you?
actually i have to go,farewell,Goodbye! Have a wonderful day.
yo what can you do friend,capabilities,I can answer questions and chat with you.
actually how are things,wellbeing,I'm functioning perfectly. How can I help you?
will you marry me today,love,That is very kind of you to say!
you suck actually,insult,I apologize if I disappointed you. I am still learning.
listen talk to you later today,farewell,Goodbye! Have a wonderful day.
actually you are cute today,love,That is very kind of you to say!
thanks bot,gratitude,You are very welcome!
ok thank you,gratitude,You are very welcome!
well useless,insult,I apologize if I disappointed you. I am still learning.
please you are dumb today,insult,I apologize if I disappointed you. I am still learning.
see you please,farewell,Goodbye! Have a wonderful day.
yo what is your name today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well greetings,greeting,Hello! How can I help you today?
please goodbye today,farewell,Goodbye! Have a wonderful day.
how is it going mam,wellbeing,I'm functioning perfectly. How can I help you?
well i dont understand mam,confusion,I apologize. Let me try to be clearer.
please i love you,love,That is very kind of you to say!
hey cya,farewell,Goodbye! Have a wonderful day.
thanks now,gratitude,You are very welcome!
umm i am confused,confusion,I apologize. Let me try to be clearer.
cya actually,farewell,Goodbye! Have a wonderful day.
hi there bot,greeting,Hello! How can I help you today?
good evening actually,greeting,Hello! How can I help you today?
ok thanks,gratitude,You are very welcome!
appreciate it buddy,gratitude,You are very welcome!
you are cute please,love,That is very kind of you to say!
thx bot,gratitude,You are very welcome!
ok i love you now,love,That is very kind of you to say!
actually you are amazing,compliment,Thank you! I appreciate the positive feedback.
umm how do you work,capabilities,I can answer questions and chat with you.
what do you mean today,confusion,I apologize. Let me try to be clearer.
bye buddy,farewell,Goodbye! Have a wonderful day.
hey useless sir,insult,I apologize if I disappointed you. I am still learning.
hey will you marry me buddy,love,That is very kind of you to say!
well done please,compliment,Thank you! I appreciate the positive feedback.
i love you today,love,That is very kind of you to say!
well thx sir,gratitude,You are very welcome!
you are cute today,love,That is very kind of you to say!
well done mam,compliment,Thank you! I appreciate the positive feedback.
well thx mam,gratitude,You are very welcome!
i love you friend,love,That is very kind of you to say!
umm good job,compliment,Thank you! I appreciate the positive feedback.
listen who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
listen good morning,greeting,Hello! How can I help you today?
hey what are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well i dont understand,confusion,I apologize. Let me try to be clearer.
so i dont understand please,confusion,I apologize. Let me try to be clearer.
listen how is it going today,wellbeing,I'm functioning perfectly. How can I help you?
yo i dont understand friend,confusion,I apologize. Let me try to be clearer.
thanks a lot actually,gratitude,You are very welcome!
well what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are smart mam,compliment,Thank you! I appreciate the positive feedback.
so how do you feel,wellbeing,I'm functioning perfectly. How can I help you?
so what's up,wellbeing,I'm functioning perfectly. How can I help you?
so hi there today,greeting,Hello! How can I help you today?
ok what is your name buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey appreciate it,gratitude,You are very welcome!
are you a bot actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo hi friend,greeting,Hello! How can I help you today?
actually what are you bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what do you mean buddy,confusion,I apologize. Let me try to be clearer.
ok hey there now,greeting,Hello! How can I help you today?
yo how are you buddy,wellbeing,I'm functioning perfectly. How can I help you?
ok bye,farewell,Goodbye! Have a wonderful day.
yo who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually how are things,wellbeing,I'm functioning perfectly. How can I help you?
so will you marry me,love,That is very kind of you to say!
yo hi mam,greeting,Hello! How can I help you today?
yo bad bot friend,insult,I apologize if I disappointed you. I am still learning.
umm are you a bot buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how are you please,wellbeing,I'm functioning perfectly. How can I help you?
please how do you feel today,wellbeing,I'm functioning perfectly. How can I help you?
ok are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
bye mam,farewell,Goodbye! Have a wonderful day.
yo you are cute,love,That is very kind of you to say!
ok bad bot,insult,I apologize if I disappointed you. I am still learning.
talk to you later bot,farewell,Goodbye! Have a wonderful day.
listen well done now,compliment,Thank you! I appreciate the positive feedback.
you are cute please,love,That is very kind of you to say!
listen what do you mean,confusion,I apologize. Let me try to be clearer.
listen are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please thanks,gratitude,You are very welcome!
hey i am confused buddy,confusion,I apologize. Let me try to be clearer.
thanks now,gratitude,You are very welcome!
will you marry me buddy,love,That is very kind of you to say!
you are stupid actually,insult,I apologize if I disappointed you. I am still learning.
what are your features please,capabilities,I can answer questions and chat with you.
ok appreciate it actually,gratitude,You are very welcome!
yo good morning today,greeting,Hello! How can I help you today?
listen how do you work friend,capabilities,I can answer questions and chat with you.
help me now,capabilities,I can answer questions and chat with you.
well done please,compliment,Thank you! I appreciate the positive feedback.
please useless now,insult,I apologize if I disappointed you. I am still learning.
listen you are cute mam,love,That is very kind of you to say!
yo appreciate it bot,gratitude,You are very welcome!
listen goodbye,farewell,Goodbye! Have a wonderful day.
talk to you later actually,farewell,Goodbye! Have a wonderful day.
umm you are stupid please,insult,I apologize if I disappointed you. I am still learning.
good night sir,farewell,Goodbye! Have a wonderful day.
thanks a lot mam,gratitude,You are very welcome!
yo thanks today,gratitude,You are very welcome!
yo what can you do sir,capabilities,I can answer questions and chat with you.
how are things bot,wellbeing,I'm functioning perfectly. How can I help you?
so thx now,gratitude,You are very welcome!
umm you are dumb,insult,I apologize if I disappointed you. I am still learning.
ok bye today,farewell,Goodbye! Have a wonderful day.
hi there today,greeting,Hello! How can I help you today?
listen thx,gratitude,You are very welcome!
thank you friend,gratitude,You are very welcome!
umm thanks actually,gratitude,You are very welcome!
well i dont understand bot,confusion,I apologize. Let me try to be clearer.
you suck sir,insult,I apologize if I disappointed you. I am still learning.
you are cute mam,love,That is very kind of you to say!
introduce yourself friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well what can you do,capabilities,I can answer questions and chat with you.
hey i love you,love,That is very kind of you to say!
nice work please,compliment,Thank you! I appreciate the positive feedback.
so good night sir,farewell,Goodbye! Have a wonderful day.
you suck sir,insult,I apologize if I disappointed you. I am still learning.
actually you are stupid actually,insult,I apologize if I disappointed you. I am still learning.
hey you are smart now,compliment,Thank you! I appreciate the positive feedback.
hey are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo what is your name bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well what are you now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are cute friend,love,That is very kind of you to say!
please you are dumb sir,insult,I apologize if I disappointed you. I am still learning.
bad bot buddy,insult,I apologize if I disappointed you. I am still learning.
umm how are things please,wellbeing,I'm functioning perfectly. How can I help you?
please what's up today,wellbeing,I'm functioning perfectly. How can I help you?
how do you work please,capabilities,I can answer questions and chat with you.
listen cya,farewell,Goodbye! Have a wonderful day.
i love you now,love,That is very kind of you to say!
introduce yourself sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well thanks a lot please,gratitude,You are very welcome!
how are you actually,wellbeing,I'm functioning perfectly. How can I help you?
so hey there mam,greeting,Hello! How can I help you today?
please you are smart,compliment,Thank you! I appreciate the positive feedback.
you are cute bot,love,That is very kind of you to say!
good morning actually,greeting,Hello! How can I help you today?
so i dont understand buddy,confusion,I apologize. Let me try to be clearer.
listen bad bot,insult,I apologize if I disappointed you. I am still learning.
please goodbye,farewell,Goodbye! Have a wonderful day.
well hey there actually,greeting,Hello! How can I help you today?
yo nice work actually,compliment,Thank you! I appreciate the positive feedback.
help me friend,capabilities,I can answer questions and chat with you.
listen appreciate it,gratitude,You are very welcome!
please what's up,wellbeing,I'm functioning perfectly. How can I help you?
hey well done,compliment,Thank you! I appreciate the positive feedback.
ok introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please will you marry me now,love,That is very kind of you to say!
actually bad bot,insult,I apologize if I disappointed you. I am still learning.
please you are cute,love,That is very kind of you to say!
umm help me,capabilities,I can answer questions and chat with you.
ok what do you mean,confusion,I apologize. Let me try to be clearer.
so what can you do,capabilities,I can answer questions and chat with you.
cya mam,farewell,Goodbye! Have a wonderful day.
ok you are cute,love,That is very kind of you to say!
how do you feel friend,wellbeing,I'm functioning perfectly. How can I help you?
actually see you please,farewell,Goodbye! Have a wonderful day.
actually will you marry me,love,That is very kind of you to say!
so good night,farewell,Goodbye! Have a wonderful day.
actually thank you,gratitude,You are very welcome!
hey i like you,love,That is very kind of you to say!
well bad bot,insult,I apologize if I disappointed you. I am still learning.
what is your name now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
thanks actually,gratitude,You are very welcome!
hey how are you now,wellbeing,I'm functioning perfectly. How can I help you?
see you friend,farewell,Goodbye! Have a wonderful day.
thx please,gratitude,You are very welcome!
hey thanks,gratitude,You are very welcome!
listen good job,compliment,Thank you! I appreciate the positive feedback.
umm will you marry me,love,That is very kind of you to say!
so i am confused sir,confusion,I apologize. Let me try to be clearer.
yo how are things,wellbeing,I'm functioning perfectly. How can I help you?
actually what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey hello,greeting,Hello! How can I help you today?
so are you a bot today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please i dont understand today,confusion,I apologize. Let me try to be clearer.
yo thx,gratitude,You are very welcome!
so goodbye bot,farewell,Goodbye! Have a wonderful day.
well i like you bot,love,That is very kind of you to say!
how do you work bot,capabilities,I can answer questions and chat with you.
hey what are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo what do you mean sir,confusion,I apologize. Let me try to be clearer.
thanks bot,gratitude,You are very welcome!
how are things actually,wellbeing,I'm functioning perfectly. How can I help you?
listen you are dumb,insult,I apologize if I disappointed you. I am still learning.
please how do you feel,wellbeing,I'm functioning perfectly. How can I help you?
i love you friend,love,That is very kind of you to say!
yo how is it going,wellbeing,I'm functioning perfectly. How can I help you?
hey how is it going please,wellbeing,I'm functioning perfectly. How can I help you?
umm appreciate it,gratitude,You are very welcome!
you are dumb mam,insult,I apologize if I disappointed you. I am still learning.
hey i love you,love,That is very kind of you to say!
well how are you,wellbeing,I'm functioning perfectly. How can I help you?
actually how do you work,capabilities,I can answer questions and chat with you.
yo i dont understand today,confusion,I apologize. Let me try to be clearer.
good night mam,farewell,Goodbye! Have a wonderful day.
please what are your features friend,capabilities,I can answer questions and chat with you.
actually good morning mam,greeting,Hello! How can I help you today?
yo cya,farewell,Goodbye! Have a wonderful day.
good morning now,greeting,Hello! How can I help you today?
well i like you please,love,That is very kind of you to say!
well how do you feel,wellbeing,I'm functioning perfectly. How can I help you?
yo can you explain buddy,confusion,I apologize. Let me try to be clearer.
umm good morning friend,greeting,Hello! How can I help you today?
can you explain actually,confusion,I apologize. Let me try to be clearer.
you suck today,insult,I apologize if I disappointed you. I am still learning.
so talk to you later,farewell,Goodbye! Have a wonderful day.
bye today,farewell,Goodbye! Have a wonderful day.
bye buddy,farewell,Goodbye! Have a wonderful day.
see you today,farewell,Goodbye! Have a wonderful day.
yo greetings,greeting,Hello! How can I help you today?
ok what are your features,capabilities,I can answer questions and chat with you.
bye bot,farewell,Goodbye! Have a wonderful day.
you are dumb now,insult,I apologize if I disappointed you. I am still learning.
umm thanks a lot,gratitude,You are very welcome!
umm nice work,compliment,Thank you! I appreciate the positive feedback.
so you are cute mam,love,That is very kind of you to say!
i like you friend,love,That is very kind of you to say!
well greetings,greeting,Hello! How can I help you today?
hey well done,compliment,Thank you! I appreciate the positive feedback.
please what do you mean,confusion,I apologize. Let me try to be clearer.
can you explain sir,confusion,I apologize. Let me try to be clearer.
yo good night,farewell,Goodbye! Have a wonderful day.
listen useless sir,insult,I apologize if I disappointed you. I am still learning.
please can you explain bot,confusion,I apologize. Let me try to be clearer.
listen nice work,compliment,Thank you! I appreciate the positive feedback.
listen what's up,wellbeing,I'm functioning perfectly. How can I help you?
what can you do bot,capabilities,I can answer questions and chat with you.
listen who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo nice work now,compliment,Thank you! I appreciate the positive feedback.
hey i like you now,love,That is very kind of you to say!
who are you actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
listen introduce yourself sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually what are you sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually nice work buddy,compliment,Thank you! I appreciate the positive feedback.
how do you work buddy,capabilities,I can answer questions and chat with you.
please you are cute buddy,love,That is very kind of you to say!
listen i like you,love,That is very kind of you to say!
what are you now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
well talk to you later,farewell,Goodbye! Have a wonderful day.
listen you are dumb,insult,I apologize if I disappointed you. I am still learning.
umm how do you feel sir,wellbeing,I'm functioning perfectly. How can I help you?
actually good night,farewell,Goodbye! Have a wonderful day.
please how is it going actually,wellbeing,I'm functioning perfectly. How can I help you?
please i dont understand bot,confusion,I apologize. Let me try to be clearer.
listen useless actually,insult,I apologize if I disappointed you. I am still learning.
well you suck now,insult,I apologize if I disappointed you. I am still learning.
hey you suck,insult,I apologize if I disappointed you. I am still learning.
so good job actually,compliment,Thank you! I appreciate the positive feedback.
so good evening buddy,greeting,Hello! How can I help you today?
well done today,compliment,Thank you! I appreciate the positive feedback.
hey good night,farewell,Goodbye! Have a wonderful day.
well how are you today,wellbeing,I'm functioning perfectly. How can I help you?
umm what are your features sir,capabilities,I can answer questions and chat with you.
please how is it going mam,wellbeing,I'm functioning perfectly. How can I help you?
i dont understand buddy,confusion,I apologize. Let me try to be clearer.
yo bye,farewell,Goodbye! Have a wonderful day.
umm what can you do now,capabilities,I can answer questions and chat with you.
ok thanks mam,gratitude,You are very welcome!
so i dont understand friend,confusion,I apologize. Let me try to be clearer.
hey thx actually,gratitude,You are very welcome!
listen thx,gratitude,You are very welcome!
well hello actually,greeting,Hello! How can I help you today?
listen appreciate it,gratitude,You are very welcome!
you are amazing mam,compliment,Thank you! I appreciate the positive feedback.
well thank you,gratitude,You are very welcome!
umm how is it going today,wellbeing,I'm functioning perfectly. How can I help you?
umm i have to go sir,farewell,Goodbye! Have a wonderful day.
ok good evening today,greeting,Hello! How can I help you today?
umm you are dumb,insult,I apologize if I disappointed you. I am still learning.
umm i have to go today,farewell,Goodbye! Have a wonderful day.
actually i am confused,confusion,I apologize. Let me try to be clearer.
you are cute mam,love,That is very kind of you to say!
how are things friend,wellbeing,I'm functioning perfectly. How can I help you?
ok can you explain bot,confusion,I apologize. Let me try to be clearer.
hey today,greeting,Hello! How can I help you today?
hello please,greeting,Hello! How can I help you today?
please how do you feel,wellbeing,I'm functioning perfectly. How can I help you?
what are your features actually,capabilities,I can answer questions and chat with you.
well bye please,farewell,Goodbye! Have a wonderful day.
umm how do you feel sir,wellbeing,I'm functioning perfectly. How can I help you?
yo help me,capabilities,I can answer questions and chat with you.
listen you are stupid buddy,insult,I apologize if I disappointed you. I am still learning.
well how do you feel friend,wellbeing,I'm functioning perfectly. How can I help you?
are you a bot buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
listen well done,compliment,Thank you! I appreciate the positive feedback.
yo how are you mam,wellbeing,I'm functioning perfectly. How can I help you?
so you are stupid,insult,I apologize if I disappointed you. I am still learning.
well you are cute mam,love,That is very kind of you to say!
well well done,compliment,Thank you! I appreciate the positive feedback.
ok how are you,wellbeing,I'm functioning perfectly. How can I help you?
listen you suck sir,insult,I apologize if I disappointed you. I am still learning.
hey good job today,compliment,Thank you! I appreciate the positive feedback.
actually thanks sir,gratitude,You are very welcome!
hey there mam,greeting,Hello! How can I help you today?
thanks mam,gratitude,You are very welcome!
i love you bot,love,That is very kind of you to say!
so bye actually,farewell,Goodbye! Have a wonderful day.
umm bad bot please,insult,I apologize if I disappointed you. I am still learning.
hey you are stupid mam,insult,I apologize if I disappointed you. I am still learning.
so hi there,greeting,Hello! How can I help you today?
listen can you explain,confusion,I apologize. Let me try to be clearer.
